glyph_id,page_number,line_number,sura_number,ayah_number,position,min_x,max_x,min_y,max_y
211,2,1,1,1,1,763,879,603,696
212,2,1,1,1,2,697,765,603,696
213,2,1,1,1,3,535,696,603,696
214,2,1,1,1,4,375,535,603,696
215,2,1,1,1,5,335,384,603,696
216,2,2,1,2,1,860,1020,704,854
217,2,2,1,2,2,773,854,704,854
218,2,2,1,2,3,669,761,704,854
219,2,2,1,2,4,474,657,704,854
220,2,2,1,2,5,394,470,704,854
221,2,2,1,3,1,197,380,704,854
222,2,3,1,3,2,830,1020,864,1004
223,2,3,1,3,3,764,830,864,1004
224,2,3,1,4,1,645,754,864,1004
225,2,3,1,4,2,540,642,864,1004
226,2,3,1,4,3,390,536,864,1004
227,2,3,1,4,4,322,389,864,1004
228,2,3,1,5,1,196,318,864,1004
229,2,4,1,5,2,884,1018,1014,1144
230,2,4,1,5,3,679,850,1014,1144
231,2,4,1,5,4,456,670,1014,1144
232,2,4,1,5,5,364,446,1014,1144
233,2,4,1,6,1,195,339,1014,1144
234,2,5,1,6,2,846,1017,1154,1297
235,2,5,1,6,3,585,837,1154,1297
236,2,5,1,6,4,510,583,1154,1297
237,2,5,1,7,1,355,507,1154,1297
238,2,5,1,7,2,196,350,1154,1297
239,2,6,1,7,3,855,1021,1307,1449
240,2,6,1,7,4,670,854,1307,1449
241,2,6,1,7,5,581,670,1307,1449
242,2,6,1,7,6,357,578,1307,1449
243,2,6,1,7,7,202,354,1307,1449
244,2,7,1,7,8,700,790,1459,1598
245,2,7,1,7,9,500,699,1459,1598
246,2,7,1,7,10,434,493,1459,1598
263,3,1,2,1,1,884,1000,706,846
264,3,1,2,1,2,828,886,706,846
265,3,1,2,2,1,716,825,706,846
266,3,1,2,2,2,563,715,706,846
267,3,1,2,2,3,512,562,706,846
268,3,1,2,2,4,354,510,706,846
269,3,1,2,2,5,204,352,706,846
270,3,2,2,2,6,868,995,856,998
271,3,2,2,2,7,648,861,856,998
272,3,2,2,2,8,574,643,856,998
273,3,2,2,3,1,413,563,856,998
274,3,2,2,3,2,215,408,856,998
275,3,3,2,3,3,830,995,1008,1142
276,3,3,2,3,4,640,830,1008,1142
277,3,3,2,3,5,503,640,1008,1142
278,3,3,2,3,6,395,503,1008,1142
279,3,3,2,3,7,212,395,1008,1142
280,3,4,2,3,8,800,998,1152,1301
281,3,4,2,3,9,715,788,1152,1301
282,3,4,2,4,1,526,705,1152,1301
283,3,4,2,4,2,320,517,1152,1301
284,3,4,2,4,3,207,309,1152,1301
285,3,5,2,4,4,877,997,1311,1457
286,3,5,2,4,5,738,867,1311,1457
287,3,5,2,4,6,620,725,1311,1457
288,3,5,2,4,7,493,613,1311,1457
289,3,5,2,4,8,391,480,1311,1457
290,3,5,2,4,9,204,383,1311,1457
291,3,6,2,4,10,664,868,1467,1598
292,3,6,2,4,11,583,663,1467,1598
293,3,6,2,4,12,415,583,1467,1598
294,3,6,2,4,13,343,412,1467,1598
295,4,1,2,5,1,14,1198,10,143
296,4,2,2,6,1,0,1198,148,281
297,4,3,2,6,2,537,1198,286,418
298,4,3,2,7,1,0,537,286,418
299,4,4,2,7,2,0,1198,423,555
300,4,5,2,7,3,951,1198,560,693
301,4,5,2,8,1,0,951,560,693
302,4,6,2,8,2,545,1198,698,830
303,4,6,2,9,1,0,545,698,830
304,4,7,2,9,2,14,1198,835,968
305,4,8,2,10,1,0,1198,973,1105
306,4,9,2,10,2,577,1198,1110,1243
323,4,9,2,11,1,0,577,1110,1243
324,4,10,2,11,2,245,1198,1248,1380
325,4,10,2,12,1,0,245,1248,1380
326,4,11,2,12,2,254,1198,1385,1517
327,4,11,2,13,1,0,254,1385,1517
328,4,12,2,13,2,0,1198,1522,1655
329,4,13,2,13,3,0,1198,1660,1793
330,5,1,2,13,1,845,1198,10,143
331,5,1,2,14,1,0,845,10,143
332,5,2,2,14,2,0,1198,148,281
333,5,3,2,14,3,807,1198,286,418
334,5,3,2,15,1,0,807,286,418
335,5,4,2,15,2,673,1198,423,555
336,5,4,2,16,1,0,673,423,555
337,5,5,2,16,2,14,1198,560,693
338,5,6,2,17,1,0,1198,698,830
339,5,7,2,17,2,0,1198,835,968
340,5,8,2,17,3,837,1198,973,1105
341,5,8,2,18,1,14,837,973,1105
342,5,9,2,19,1,0,1198,1110,1243
343,5,10,2,19,2,0,1198,1248,1380
344,5,11,2,19,3,309,1198,1385,1517
345,5,11,2,20,1,0,309,1385,1517
346,5,12,2,20,2,0,1198,1522,1655
347,5,13,2,20,3,0,1198,1660,1793
348,6,1,2,20,1,154,1198,10,143
349,6,1,2,21,1,0,154,10,143
350,6,2,2,21,2,0,1198,148,281
351,6,3,2,21,3,598,1198,286,418
352,6,3,2,22,1,0,598,286,418
353,6,4,2,22,2,0,1198,423,555
354,6,5,2,22,3,0,1198,560,693
355,6,6,2,22,4,765,1198,698,830
356,6,6,2,23,1,0,765,698,830
357,6,7,2,23,2,0,1198,835,968
358,6,8,2,23,3,360,1198,973,1105
359,6,8,2,24,1,0,360,973,1105
360,6,9,2,24,2,0,1198,1110,1243
361,6,10,2,24,3,439,1198,1248,1380
362,6,10,2,25,1,0,439,1248,1380
363,6,11,2,25,2,0,1198,1385,1517
364,6,12,2,25,3,0,1198,1522,1655
365,6,13,2,25,4,0,1198,1660,1793
366,7,1,2,25,1,183,1198,10,143
367,7,1,2,26,1,0,183,10,143
368,7,2,2,26,2,0,1198,148,281
369,7,3,2,26,3,0,1198,286,418
370,7,4,2,26,4,0,1198,423,555
371,7,5,2,26,5,0,1198,560,693
372,7,6,2,26,6,780,1198,698,830
373,7,6,2,27,1,0,780,698,830
374,7,7,2,27,2,0,1198,835,968
375,7,8,2,27,3,133,1198,973,1105
376,7,8,2,28,1,0,133,973,1105
377,7,9,2,28,2,0,1198,1110,1243
378,7,10,2,28,3,431,1198,1248,1380
379,7,10,2,29,1,0,431,1248,1380
380,7,11,2,29,2,0,1198,1385,1517
381,7,12,2,29,3,333,1198,1522,1655
382,7,12,2,30,1,0,333,1522,1655
383,7,13,2,30,2,0,1198,1660,1793
384,8,1,2,30,1,0,1198,10,143
385,8,2,2,30,2,14,1198,148,281
386,8,3,2,31,1,0,1198,286,418
387,8,4,2,31,2,14,1198,423,555
388,8,5,2,32,1,0,1198,560,693
389,8,6,2,32,2,940,1198,698,830
390,8,6,2,33,1,0,940,698,830
391,8,7,2,33,2,0,1198,835,968
392,8,8,2,33,3,94,1198,973,1105
393,8,8,2,34,1,0,94,973,1105
394,8,9,2,34,2,0,1198,1110,1243
395,8,10,2,34,3,452,1198,1248,1380
396,8,10,2,35,1,0,452,1248,1380
397,8,11,2,35,2,0,1198,1385,1517
398,8,12,2,35,3,184,1198,1522,1655
399,8,12,2,36,1,0,184,1522,1655
400,8,13,2,36,2,0,1198,1660,1793
401,9,1,2,36,1,0,1198,10,143
402,9,2,2,36,2,913,1198,148,281
403,9,2,2,37,1,0,913,148,281
404,9,3,2,37,2,600,1198,286,418
405,9,3,2,38,1,0,600,286,418
406,9,4,2,38,2,0,1198,423,555
407,9,5,2,38,3,548,1198,560,693
408,9,5,2,39,1,0,548,560,693
409,9,6,2,39,2,14,1198,698,830
410,9,7,2,40,1,0,1198,835,968
411,9,8,2,40,2,14,1198,973,1105
412,9,9,2,41,1,0,1198,1110,1243
413,9,10,2,41,2,0,1198,1248,1380
414,9,11,2,41,3,915,1198,1385,1517
415,9,11,2,42,1,0,915,1385,1517
416,9,12,2,42,2,552,1198,1522,1655
417,9,12,2,43,1,0,552,1522,1655
418,9,13,2,43,2,402,1198,1660,1793
419,9,13,2,44,1,0,402,1660,1793
420,10,1,2,44,1,0,1198,10,143
421,10,2,2,44,2,817,1198,148,281
422,10,2,2,45,1,0,817,148,281
423,10,3,2,45,2,412,1198,286,418
424,10,3,2,46,1,0,412,286,418
425,10,4,2,46,2,143,1198,423,555
426,10,4,2,47,1,0,143,423,555
427,10,5,2,47,2,0,1198,560,693
428,10,6,2,47,3,622,1198,698,830
429,10,6,2,48,1,0,622,698,830
430,10,7,2,48,2,0,1198,835,968
431,10,8,2,48,3,438,1198,973,1105
432,10,8,2,49,1,0,438,973,1105
433,10,9,2,49,2,0,1198,1110,1243
434,10,10,2,49,3,0,1198,1248,1380
435,10,11,2,49,4,785,1198,1385,1517
436,10,11,2,50,1,0,785,1385,1517
437,10,12,2,50,2,265,1198,1522,1655
438,10,12,2,51,1,0,265,1522,1655
439,10,13,2,51,2,0,1198,1660,1793
440,11,1,2,51,1,770,1198,10,143
441,11,1,2,52,1,0,770,10,143
442,11,2,2,52,2,634,1198,148,281
443,11,2,2,53,1,0,634,148,281
444,11,3,2,53,2,407,1198,286,418
445,11,3,2,54,1,0,407,286,418
446,11,4,2,54,2,0,1198,423,555
447,11,5,2,54,3,0,1198,560,693
448,11,6,2,54,4,0,1198,698,830
449,11,7,2,54,5,946,1198,835,968
450,11,7,2,55,1,0,946,835,968
451,11,8,2,55,2,14,1198,973,1105
452,11,9,2,56,1,14,1198,1110,1243
453,11,10,2,57,1,0,1198,1248,1380
454,11,11,2,57,2,0,1198,1385,1517
455,11,12,2,57,3,695,1198,1522,1655
456,11,12,2,58,1,0,695,1522,1655
457,11,13,2,58,2,0,1198,1660,1793
458,12,1,2,58,1,14,1198,10,143
459,12,2,2,59,1,0,1198,148,281
460,12,3,2,59,2,0,1198,286,418
461,12,4,2,59,3,882,1198,423,555
462,12,4,2,60,1,0,882,423,555
463,12,5,2,60,2,0,1198,560,693
464,12,6,2,60,3,0,1198,698,830
481,12,7,2,60,4,266,1198,835,968
482,12,7,2,61,1,0,266,835,968
483,12,8,2,61,2,0,1198,973,1105
484,12,9,2,61,3,0,1198,1110,1243
485,12,10,2,61,4,0,1198,1248,1380
486,12,11,2,61,5,0,1198,1385,1517
487,12,12,2,61,6,0,1198,1522,1655
488,12,13,2,61,7,0,1198,1660,1793
489,13,1,2,61,1,0,1198,10,143
490,13,2,2,61,2,492,1198,148,281
491,13,2,2,62,1,0,492,148,281
492,13,3,2,62,2,0,1198,286,418
493,13,4,2,62,3,0,1198,423,555
494,13,5,2,62,4,96,1198,560,693
495,13,5,2,63,1,0,96,560,693
496,13,6,2,63,2,0,1198,698,830
497,13,7,2,63,3,15,1198,835,968
498,13,8,2,64,1,0,1198,973,1105
499,13,9,2,64,2,340,1198,1110,1243
500,13,9,2,65,1,0,340,1110,1243
501,13,10,2,65,2,0,1198,1248,1380
502,13,11,2,65,3,770,1198,1385,1517
503,13,11,2,66,1,0,770,1385,1517
504,13,12,2,66,2,378,1198,1522,1655
505,13,12,2,67,1,0,378,1522,1655
506,13,13,2,67,2,0,1198,1660,1793
507,14,1,2,67,1,0,1198,10,143
508,14,2,2,67,2,890,1198,148,281
509,14,2,2,68,1,0,890,148,281
510,14,3,2,68,2,0,1198,286,418
511,14,4,2,68,3,329,1198,423,555
512,14,4,2,69,1,0,329,423,555
513,14,5,2,69,2,0,1198,560,693
514,14,6,2,69,3,134,1198,698,830
515,14,6,2,70,1,0,134,698,830
516,14,7,2,70,2,0,1198,835,968
517,14,8,2,70,3,454,1198,973,1105
518,14,8,2,71,1,0,454,973,1105
