Surah,Name,Juz,IsMakki,Madani15LinePageNumber,13LinePageNumber
1,الفاتحة,1,1,1,2
2,البقرة,1,0,2,3
3,آلعمران,3,0,50,68
4,النساء,4,0,77,106
5,المائدة,6,0,106,147
6,الأنعام,7,1,128,177
7,الأعراف,8,1,151,209
8,الأنفال,9,0,177,246
9,التوبة,10,0,187,260
10,يونس,11,1,208,288
11,هود,11,1,221,308
12,يوسف,12,1,235,328
13,الرعد,13,0,249,346
14,ابراهيم,13,1,255,355
15,الحجر,13,1,262,364
16,النحل,14,1,267,372
17,الإسرى,15,1,282,393
18,الكهف,15,1,293,408
19,مريم,16,1,305,425
20,طه,16,1,312,435
21,الأنبياء,17,1,322,449
22,الحج,17,0,332,462
23,المؤمِون,18,1,342,477
24,النور,18,0,350,487
25,الفرقان,18,1,359,501
26,الشعراء,19,1,367,511
27,النمل,19,1,377,525
28,القصص,20,1,385,537
29,العنكبوت,20,1,396,552
30,الروم,21,1,404,562
31,لقمن,21,1,411,571
32,السجدة,21,1,415,577
33,الأحزاب,21,0,418,581
34,سبا,22,1,428,595
35,فاطر,22,1,434,603
36,يس,22,1,440,611
37,الصافات,23,1,446,618
38,ص,23,1,453,628
39,الزمر,23,1,458,635
40,غافر,24,1,467,647
41,فصلت,24,1,477,659
42,الشورى,25,1,483,668
43,الزخوف,25,1,489,677
44,الدخان,25,1,496,686
45,الجاثية,25,1,499,691
46,الأحقاف,26,1,502,697
47,محمد,26,0,507,704
48,الفتح,26,0,511,710
49,الحجرات,26,0,515,716
50,ق,26,1,518,721
51,الذاريات,26,1,520,725
52,الطور,27,1,523,729
53,النجم,27,1,526,732
54,القمر,27,1,528,736
55,الرحمن,27,0,531,740
56,الواقعة,27,1,534,745
57,الحديد,27,0,537,750
58,المجادلة,28,0,542,757
59,الحشر,28,0,545,761
60,الممتحنة,28,0,549,766
61,الصف,28,0,551,770
62,الجمعة,28,0,553,773
63,المنافقون,28,0,554,775
64,التغابن,28,0,556,777
65,الطلاق,28,0,558,780
66,التحريم,28,0,560,783
67,الملك,29,1,562,787
68,القلم,29,1,564,790
69,الحاقة,29,1,566,794
70,المعارج,29,1,568,797
71,نوح,29,1,570,800
72,الجن,29,1,572,803
73,المزمل,29,1,574,806
74,المدثر,29,1,575,808
75,القيامة,29,1,577,811
76,الإنسان,29,0,578,813
77,المرسلات,29,1,580,816
78,النبإ,30,1,582,819
79,النازعات,30,1,583,820
80,عبس,30,1,585,822
81,التكوِير,30,1,586,824
82,الإنفطار,30,1,587,825
83,المطففين,30,1,587,826
84,الإنشقاق,30,1,589,828
85,البروج,30,1,590,829
86,الطارق,30,1,591,830
87,الأعلى,30,1,591,831
88,الغاشية,30,1,592,832
89,الفجر,30,1,593,833
90,البلد,30,1,594,835
91,الشمس,30,1,595,836
92,الليل,30,1,595,837
93,الضحى,30,1,596,838
94,الشرح,30,1,596,838
95,التين,30,1,597,839
96,العلق,30,1,597,839
97,القدر,30,1,598,840
98,البينة,30,0,598,840
99,الزلزلة,30,0,599,841
100,العاديات,30,1,599,842
101,القارعة,30,1,600,843
102,التكاثر,30,1,600,843
103,العصر,30,1,601,844
104,الهمزاء,30,1,601,844
105,الفيل,30,1,601,844
106,قريش,30,1,602,845
107,الماعون,30,1,602,845
108,الكوثر,30,1,602,846
109,الكافرون,30,1,603,846
110,النصر,30,0,603,846
111,المسد,30,1,603,847
112,الإخلاص,30,1,604,847
113,الفلق,30,1,604,847
114,الناس,30,1,604,848
